group	path	mode	bytes
bench/importers	bench/bundle_size/consumer_double_core.vibe	unsupported	-1
bench/importers	bench/bundle_size/consumer_double_rounding.vibe	unsupported	-1
bench/importers	bench/bundle_size/consumer_option_core.vibe	wasm	1662
bench/importers	bench/bundle_size/consumer_option_extra.vibe	wasm	1792
examples	examples/async.vibe	wasm-no-dce	594
examples	examples/base64.vibe	wasm-no-dce	6038
examples	examples/basics.vibe	wasm-no-dce	1479
examples	examples/effects.vibe	wasm-no-dce	1051
examples	examples/json.vibe	wasm-no-dce	28654
examples	examples/module_export.vibe	wasm-no-dce	495
examples	examples/module_import.vibe	wasm-no-dce	1383
examples	examples/module_types_export.vibe	wasm-no-dce	257
examples	examples/module_types_import.vibe	wasm-no-dce	559
examples	examples/pattern_coverage.vibe	wasm-no-dce	56
examples	examples/simple_bench.vibe	wasm-no-dce	65
examples	examples/string_basic.vibe	wasm-no-dce	752
examples	examples/syntax.vibe	wasm	56
examples	examples/test.vibe	wasm-no-dce	56
