name	mean_us	sigma_us	min_us	max_us	samples	runs
checker.type_check.small	42.23	3.14	39.14	47.46	10	2295
checker.type_check.large	6260.00	583.05	5450.00	7300.00	10	15
checker.type_check.trait_bounds	677.12	71.57	595.49	812.87	10	150
checker.db_types.hot	0.10	0.04	0.08	0.18	10	100000
checker.db_init.cold	0.92	0.06	0.85	1.06	10	100000
checker.db_types.first_without_db_init	7480.00	1790.00	6150.00	11830.00	10	12
checker.db_types.cold	15920.00	1210.00	14770.00	17950.00	10	7
checker.db_types.cross_module.cold	8450.00	1630.00	6880.00	11750.00	10	14
checker.db_types.cross_module.hot	0.04	0.00	0.04	0.04	10	100000
checker.db_types.cross_module.delta	4060.00	976.75	3300.00	6540.00	10	36
checker.db_types.chain.cold	2670.00	559.57	2250.00	3720.00	10	26
checker.db_types.chain.hot	0.05	0.01	0.04	0.06	10	100000
