timestamp	git_rev	compile_ratio	check_ratio	compile_verdict	check_verdict	fixed_point	cutover_ready	runs	cases_file
2026-05-17T09:58:29Z	d701855	2.930	0.163	FAIL	PASS	skipped	no	2	bench/selfhost_perf/kpi_cases.txt
2026-05-17T10:04:30Z	d701855	2.855	0.163	FAIL	PASS	unknown	no	2	bench/selfhost_perf/kpi_cases.txt
2026-05-17T10:06:13Z	d701855	2.995	0.167	FAIL	PASS	delegated	no	2	bench/selfhost_perf/kpi_cases.txt
2026-05-17T10:10:44Z	288793e	3.550	0.272	FAIL	PASS	delegated	no	2	bench/selfhost_perf/kpi_heavy_cases.txt
2026-05-17T10:12:45Z	288793e	3.641	2.231	FAIL	FAIL	delegated	no	2	bench/selfhost_perf/kpi_heavy_cases.txt
2026-05-17T12:04:02Z	e08fc5a	3.559	2.286	FAIL	FAIL	delegated	no	2	bench/selfhost_perf/kpi_heavy_cases.txt
2026-05-17T13:10:24Z	d606229	4.035	2.350	FAIL	FAIL	delegated	no	3	bench/selfhost_perf/kpi_heavy_cases.txt
2026-05-17T13:17:58Z	1fdab6f	4.043	2.504	FAIL	FAIL	skipped	no	3	bench/selfhost_perf/kpi_heavy_cases.txt
2026-05-17T13:18:12Z	1fdab6f	3.805	2.446	FAIL	FAIL	skipped	no	3	bench/selfhost_perf/kpi_heavy_cases.txt
2026-05-17T13:18:26Z	1fdab6f	3.930	2.360	FAIL	FAIL	skipped	no	3	bench/selfhost_perf/kpi_heavy_cases.txt
2026-05-17T13:18:40Z	1fdab6f	4.062	2.344	FAIL	FAIL	skipped	no	3	bench/selfhost_perf/kpi_heavy_cases.txt
2026-05-17T13:18:54Z	1fdab6f	4.013	2.364	FAIL	FAIL	skipped	no	3	bench/selfhost_perf/kpi_heavy_cases.txt
2026-05-17T13:19:34Z	1fdab6f	4.038	2.444	FAIL	FAIL	skipped	no	3	bench/selfhost_perf/kpi_heavy_cases.txt
2026-05-17T13:19:48Z	1fdab6f	3.980	2.355	FAIL	FAIL	skipped	no	3	bench/selfhost_perf/kpi_heavy_cases.txt
2026-05-17T13:20:01Z	1fdab6f	3.939	2.330	FAIL	FAIL	skipped	no	3	bench/selfhost_perf/kpi_heavy_cases.txt
2026-05-17T13:30:11Z	10ed661	4.084	2.191	FAIL	FAIL	skipped	no	3	bench/selfhost_perf/kpi_heavy_cases.txt
2026-05-17T13:30:26Z	10ed661	4.150	2.257	FAIL	FAIL	skipped	no	3	bench/selfhost_perf/kpi_heavy_cases.txt
2026-05-17T13:30:41Z	10ed661	3.978	2.256	FAIL	FAIL	skipped	no	3	bench/selfhost_perf/kpi_heavy_cases.txt
