version	1
name	issue	verdict	detail	source
generic-identity	#990	accept	Int;types=[Int]	fn identity[T](x: T) -> T { x } fn main() -> Int { identity(1) }
labeled-reordered	#986	accept	Int;types=[]	let f: (x~: Int, y~: String) -> Int = (x~, y~) -> { x } fn main() -> Int { f(y="ok", x=1) }
labeled-positional	#986	accept	Int;types=[]	let f: (x~: Int, y~: String) -> Int = (x~, y~) -> { x } fn main() -> Int { f(1, "ok") }
array-builder-element-mismatch	#938	reject	type-mismatch	fn bad(b: ArrayBuilder[Int]) -> Unit { ArrayBuilder::push(b, "bad") }
result-option-mismatch	#941	reject	type-mismatch	fn use_result(x: Result[Int,String]) -> Int { 0 } fn bad(o: Option[Int]) -> Int { use_result(o) }
box-type-argument-mismatch	#981	reject	type-mismatch	struct Box[T] { v: T } fn get_int(x: Box[Int]) -> Int { 0 } fn bad(x: Box[String]) -> Int { get_int(x) }
map-value-mismatch	#983	reject	type-mismatch	fn bad(m: Map[String,Int]) -> Unit { Map::set(m, "k", "bad") }
map-value-accepted	#983	accept	Unit;types=[String,Int]	fn good(m: Map[String,Int]) -> Unit { Map::set(m, "k", 1) }
bytes-push-mismatch	#985	reject	type-mismatch	fn bad(b: Bytes) -> Unit { Bytes::push(b, "bad") }
int64-array-set-mismatch	#985	reject	type-mismatch	fn bad(a: Int64Array) -> Unit { Int64Array::set(a, 0, "bad") }
labeled-type-mismatch	#986	reject	type-mismatch	let f: (x~: Int, y~: String) -> Int = (x~, y~) -> { x } fn bad() -> Int { f(x="bad", y="ok") }
labeled-unknown	#986	reject	unknown-label	let f: (x~: Int, y~: String) -> Int = (x~, y~) -> { x } fn bad() -> Int { f(z=1, y="ok") }
labeled-duplicate	#986	reject	duplicate-label	let f: (x~: Int, y~: String) -> Int = (x~, y~) -> { x } fn bad() -> Int { f(x=1, x=2) }
labeled-missing	#986	reject	arity-mismatch	let f: (x~: Int, y~: String) -> Int = (x~, y~) -> { x } fn bad() -> Int { f(x=1) }
