version	1
name	issue	verdict	result	catalog	operations
capability-resource	#1218	accept	[capability(vibe/std/fs#0:0(resource:0);kind=0;resource=0)]	[vibe/std/fs#0=capability(kind=0),example/app/logger#0=algebraic,vibe/core/exception#0=core-exception]	[vibe/std/fs#0:0(resource:0)]
capability-generic-resource	#1218	accept	[capability(vibe/std/fs#0:0(type:3,resource:0);kind=0;resource=0)]	[vibe/std/fs#0=capability(kind=0),example/app/logger#0=algebraic,vibe/core/exception#0=core-exception]	[vibe/std/fs#0:0(type:3,resource:0)]
algebraic-resource-free	#1218	accept	[algebraic(example/app/logger#0:0())]	[vibe/std/fs#0=capability(kind=0),example/app/logger#0=algebraic,vibe/core/exception#0=core-exception]	[example/app/logger#0:0()]
algebraic-generic-region	#1218	accept	[algebraic(example/app/logger#0:0(type:3,region:4))]	[vibe/std/fs#0=capability(kind=0),example/app/logger#0=algebraic,vibe/core/exception#0=core-exception]	[example/app/logger#0:0(type:3,region:4)]
core-exception-typed	#1218/#1136	accept	[exception(kind=7)]	[vibe/std/fs#0=capability(kind=0),example/app/logger#0=algebraic,vibe/core/exception#0=core-exception]	[vibe/core/exception#0:0(type:7)]
mixed-row	#1218	accept	[capability(vibe/std/fs#0:0(resource:0);kind=0;resource=0),algebraic(example/app/logger#0:0()),exception(kind=7)]	[vibe/std/fs#0=capability(kind=0),example/app/logger#0=algebraic,vibe/core/exception#0=core-exception]	[vibe/std/fs#0:0(resource:0),example/app/logger#0:0(),vibe/core/exception#0:0(type:7)]
unknown-metadata	#1218	reject	none	[vibe/std/fs#0=capability(kind=0),example/app/logger#0=algebraic,vibe/core/exception#0=core-exception]	[example/app/unknown#0:0()]
duplicate-metadata	#1218	reject	none	[vibe/std/fs#0=capability(kind=0),vibe/std/fs#0=algebraic]	[vibe/std/fs#0:0(resource:0)]
capability-missing-resource	#1218	reject	none	[vibe/std/fs#0=capability(kind=0),example/app/logger#0=algebraic,vibe/core/exception#0=core-exception]	[vibe/std/fs#0:0()]
capability-duplicate-resource	#1218	reject	none	[vibe/std/fs#0=capability(kind=0),example/app/logger#0=algebraic,vibe/core/exception#0=core-exception]	[vibe/std/fs#0:0(resource:0,resource:1)]
algebraic-forged-resource	#1218	reject	none	[vibe/std/fs#0=capability(kind=0),example/app/logger#0=algebraic,vibe/core/exception#0=core-exception]	[example/app/logger#0:0(resource:0)]
exception-missing-type	#1218/#1136	reject	none	[vibe/std/fs#0=capability(kind=0),example/app/logger#0=algebraic,vibe/core/exception#0=core-exception]	[vibe/core/exception#0:0()]
exception-multiple-types	#1218/#1136	reject	none	[vibe/std/fs#0=capability(kind=0),example/app/logger#0=algebraic,vibe/core/exception#0=core-exception]	[vibe/core/exception#0:0(type:7,type:8)]
exception-resource-argument	#1218/#1136	reject	none	[vibe/std/fs#0=capability(kind=0),example/app/logger#0=algebraic,vibe/core/exception#0=core-exception]	[vibe/core/exception#0:0(resource:0)]
row-fails-atomically	#1218	reject	none	[vibe/std/fs#0=capability(kind=0),example/app/logger#0=algebraic,vibe/core/exception#0=core-exception]	[example/app/logger#0:0(),example/app/logger#0:0(resource:0)]
